ã‚åo,íÜêSãóó£,,
0,1.18E+20,12425,
5,1.20E+20,12687.00341,
10,1.27E+20,13436.21184,
15,1.38E+20,14580.87865,
20,1.51E+20,16011.46929,
25,1.67E+20,17627.88201,
30,1.83E+20,19349.40729,
35,2.00E+20,21114.36035,
40,2.16E+20,22876.37849,
45,2.33E+20,24600.6707,
50,2.48E+20,26261.14156,
55,2.63E+20,27838.39776,
60,2.77E+20,29318.41575,9.46E+15
65,2.90E+20,30691.64725,
70,3.02E+20,31952.3891,
75,3.13E+20,33098.29367,
80,3.23E+20,34129.93604,
85,3.32E+20,35050.38533,
90,3.39E+20,35864.75463,
95,3.46E+20,36579.72632,
100,3.52E+20,37203.06739,
105,3.57E+20,37743.1605,
110,3.61E+20,38208.57891,
115,3.65E+20,38607.72956,
120,3.68E+20,38948.57826,
125,3.71E+20,39238.46017,
130,3.74E+20,39483.96864,
135,3.75E+20,39690.90892,
140,3.77E+20,39864.30072,
145,3.79E+20,40008.41337,
150,3.80E+20,40126.82005,
155,3.81E+20,40222.45993,
160,3.81E+20,40297.70067,
165,3.82E+20,40354.39591,
170,3.82E+20,40393.93462,
175,3.82E+20,40417.2804,
180,3.82E+20,40425,
185,3.82E+20,40417.2804,
190,3.82E+20,40393.93462,
195,3.82E+20,40354.39591,
200,3.81E+20,40297.70067,
205,3.81E+20,40222.45993,
210,3.80E+20,40126.82005,
215,3.79E+20,40008.41337,
220,3.77E+20,39864.30072,
225,3.75E+20,39690.90892,
230,3.74E+20,39483.96864,
235,3.71E+20,39238.46017,
240,3.68E+20,38948.57826,
245,3.65E+20,38607.72956,
250,3.61E+20,38208.57891,
255,3.57E+20,37743.1605,
260,3.52E+20,37203.06739,
265,3.46E+20,36579.72632,
270,3.39E+20,35864.75463,
275,3.32E+20,35050.38533,
280,3.23E+20,34129.93604,
285,3.13E+20,33098.29367,
290,3.02E+20,31952.3891,
295,2.90E+20,30691.64725,
300,2.77E+20,29318.41575,
305,2.63E+20,27838.39776,
310,2.48E+20,26261.14156,
315,2.33E+20,24600.6707,
320,2.16E+20,22876.37849,
325,2.00E+20,21114.36035,
330,1.83E+20,19349.40729,
335,1.67E+20,17627.88201,
340,1.51E+20,16011.46929,
345,1.38E+20,14580.87865,
350,1.27E+20,13436.21184,
355,1.20E+20,12687.00341,
